[Simulation].RunIndex(1)	[WaitingTime].SampleAverage	[TimeInSystem].SampleAverage	[WaitingRoom].QueueLengthAverage	[ControllerTutorialOne1].UtilisationDoctor1
1.0	0.0[h]	0.2838888888888889[h]	0.0	0.7395833333333334
1.0	0.0[h]	0.2838888888888889[h]	0.0	0.7395833333333334
1.0	0.0[h]	0.2838888888888889[h]	0.0	0.7395833333333334
1.0	0.0[h]	0.2838888888888889[h]	0.0	0.7395833333333334
1.0	0.0[h]	0.2838888888888889[h]	0.0	0.7395833333333334
1.0	0.0[h]	0.2838888888888889[h]	0.0	0.7395833333333334
1.0	0.0[h]	0.2838888888888889[h]	0.0	0.7395833333333334
1.0	0.0[h]	0.2838888888888889[h]	0.0	0.7395833333333334
1.0	0.0[h]	0.2838888888888889[h]	0.0	0.7395833333333334
1.0	0.0[h]	0.2838888888888889[h]	0.0	0.7395833333333334
2.0	0.19297369031189085[h]	0.4768625792007797[h]	0.45831251449074123	0.59375
2.0	0.7546295727430555[h]	1.0385184616319445[h]	2.983897817881943	0.9166666666666666
2.0	0.19423315782338305[h]	0.47812204671227204[h]	0.5453128486805559	0.6979166666666666
2.0	0.17817046251851845[h]	0.46205935140740734[h]	0.5368407519328705	0.625
2.0	0.4164688841081871[h]	0.700357772997076[h]	1.3347603342939827	0.7916666666666666
2.0	0.1305452541868687[h]	0.4144341430757576[h]	0.2991662075115749	0.5729166666666666
2.0	0.263696084948718[h]	0.5475849738376067[h]	0.7141768967361115	0.6770833333333334
2.0	0.387522125050505[h]	0.6714110139393936[h]	1.4158364010300937	0.8020833333333334
2.0	0.20587538280060888[h]	0.4897642716894978[h]	0.6262042893518519	0.7604166666666666
2.0	0.5543671890716375[h]	0.8382560779605265[h]	1.7640602727662056	0.7916666666666666
3.0	0.01954906456349206[h]	0.3045556111547618[h]	0.05784146824074	0.7324265016319443
3.0	0.024023670402973398[h]	0.30800950381064157[h]	0.07107002494212902	0.7398701275347221
3.0	0.006607673474178403[h]	0.29266044885759[h]	0.01954770069444416	0.7459848308796296
3.0	0.021109629217527386[h]	0.29731507775039123[h]	0.0624493197685178	0.7168531556134259
3.0	0.012339763912363067[h]	0.28296270526995315[h]	0.03650513490740712	0.7003382385532407
3.0	0.012277506817460319[h]	0.2903524630952381[h]	0.0375648598263883	0.7122093632175925
3.0	0.008746301960093895[h]	0.27899572728482[h]	0.02587447663194419	0.6992332536226852
3.0	0.019886132891236304[h]	0.30164271264084513[h]	0.05882980980324026	0.7332752521296296
3.0	0.019963951635367762[h]	0.30327258478482017[h]	0.05906002358796225	0.7378667434374999
3.0	0.012421587249608764[h]	0.2896085746400626[h]	0.03674719561342575	0.7197568747337962
4.0	0.17180632566764129[h]	0.45547526786549697[h]	0.40804002346064844	0.5932276266087962
4.0	1.0350918831330749[h]	1.3160206873417313[h]	4.107074371249999	0.8852263632291666
4.0	0.19145841331649827[h]	0.47731813688973074[h]	0.5529782686342594	0.6929197953819444
4.0	0.1975391383515483[h]	0.47429856044171215[h]	0.5547589028240745	0.6172959385532407
4.0	0.3371883367141813[h]	0.6089007003435672[h]	1.0831941371180556	0.753107670011574
4.0	0.1828304701161616[h]	0.4579742527575757[h]	0.4189864940162038	0.5528757981828704
4.0	0.27277310173931624[h]	0.5459764040769229[h]	0.7387604838773146	0.6481432030902777
4.0	0.38912663707236844[h]	0.6773660656176902[h]	1.5047355385879633	0.8054433755787037
4.0	0.23355587535388125[h]	0.515607014589041[h]	0.7103991208680555	0.7548268448032407
4.0	0.413114205372807[h]	0.6904944723062869[h]	1.3190861059953707	0.771056030474537
